,Amount_Requested,Interest_Rate_Percentage,Loan_Length_in_Months,Loan_Purpose,Monthly_PAYMENT,Total_Amount_Funded,Debt_To_Income_Ratio_Percentage,Status
889,7500,9.99,36,10,241.97,7500,12.46,1
890,20000,12.21,36,1,666.3,20000,12.02,0
891,12000,9.76,36,14,385.86,12000,8.65,0
892,15000,17.58,36,2,539.14,15000,15.96,1
893,7500,14.27,36,14,257.32,7500,23.81,0
894,5000,12.61,36,13,167.54,5000,20.64,1
895,5350,13.06,36,1,180.42,5350,23.73,0
896,9000,12.69,36,2,301.91,9000,17.76,1
897,26250,16.89,60,1,650.83,26250,3.21,0
898,12800,15.2,36,1,444.98,12800,10.02,1
899,10000,15.8,36,2,350.59,10000,21.36,1
900,4000,16.89,60,14,99.18,4000,4.02,0
901,10000,13.11,36,3,337.45,10000,17.07,0
902,20000,13.85,36,1,682.08,20000,8.16,1
903,8500,12.42,36,1,284.03,8500,8.94,0
904,10000,18.25,60,1,255.3,10000,12.95,0
905,4000,12.21,36,11,133.26,4000,13.54,1
906,3600,15.99,36,1,126.55,3600,22.05,0
907,13800,17.49,60,10,346.62,13800,1.68,0
908,7500,11.91,36,1,201.52,6075,14.33,0
909,10000,13.24,36,12,338.1,10000,7.31,0
910,8000,7.49,36,1,248.82,8000,10.67,1
911,18000,15.31,60,4,431.16,18000,1.93,1
912,5000,9.91,36,1,161.13,5000,17.85,0
913,12000,8.88,36,1,380.93,12000,10.63,1
914,3000,6.76,36,4,92.31,3000,24.94,1
915,7000,5.79,36,2,212.29,7000,14.44,0
916,8800,11.36,36,2,289.61,8800,22.62,1
917,9500,10.38,60,3,203.63,9500,13.64,0
918,6600,15.33,60,2,158.16,6600,12.63,0
919,1800,8.59,36,14,56.9,1800,8.95,1
920,25000,14.17,60,1,583.92,25000,23.41,0
921,20000,18.91,60,1,517.83,20000,20.7,0
922,15000,16,36,1,527.36,15000,15.57,0
923,13000,14.59,36,1,448.05,13000,13.64,1
924,20950,14.79,60,1,496.1,20950,14.37,1
925,20000,12.18,36,1,666,20000,22.32,1
926,25000,24.2,60,1,722.11,25000,20.2,1
927,4600,15.62,36,1,160.87,4600,12.2,0
928,18000,16.4,36,2,636.39,18000,24.03,0
929,10000,13.87,36,1,341.15,10000,24.72,0
930,17500,11.48,36,1,576.95,17500,11.71,1
931,3000,11.49,36,5,98.92,3000,18.11,1
932,6000,7.88,36,1,187.69,6000,4.46,0
933,12000,13.49,60,1,276.06,12000,20.46,0
934,9900,6.99,36,11,305.64,9900,18.85,1
935,5300,12.61,60,1,119.54,5300,15.54,0
936,8975,14.33,36,14,308.19,8975,15.11,0
937,5600,10.64,36,4,182.39,5600,4.26,1
938,10000,10.37,36,5,324.42,10000,9.54,0
939,25000,11.83,36,5,828.35,25000,2.51,0
940,3625,11.11,36,14,118.87,3625,22.9,0
941,4000,10.38,36,4,129.79,4000,3.72,1
942,1400,7.9,36,14,43.81,1400,10,1
943,11200,8.49,36,1,353.51,11200,8.73,1
944,11500,12.21,36,14,383.13,11500,1.05,1
945,6000,6.92,36,2,185.05,6000,19.67,1
946,5000,13.48,36,4,169.63,5000,3.13,0
947,30000,19.72,36,1,1110.64,30000,7.24,1
948,9000,12.84,36,1,302.57,9000,9.68,1
949,10000,8,36,1,313.37,10000,4.9,1
950,12000,9.63,36,1,385.14,12000,11.76,0
951,8000,12.87,36,2,269.07,8000,3.49,0
952,7750,9.99,36,5,250.04,7750,18.7,0
